event_hour,user_count,hour_index,is_anomaly,was_tagged_as_anomaly
2024-03-10 21:00:00,6343,380,0,0
2024-03-10 22:00:00,5620,381,0,0
2024-03-10 23:00:00,4374,382,0,0
2024-03-11 00:00:00,3653,383,0,0
2024-03-11 01:00:00,2723,384,0,0
2024-03-11 02:00:00,2345,385,0,0
2024-03-11 03:00:00,2050,386,0,0
2024-03-11 04:00:00,2180,387,0,0
2024-03-11 05:00:00,2595,388,0,0
2024-03-11 06:00:00,2678,389,0,0
2024-03-11 07:00:00,3398,390,0,0
2024-03-11 08:00:00,4125,391,0,0
2024-03-11 09:00:00,4830,392,0,0
2024-03-11 10:00:00,5778,393,0,0
2024-03-11 11:00:00,5962,394,0,0
2024-03-11 12:00:00,6277,395,0,0
2024-03-11 13:00:00,6193,396,0,0
2024-03-11 14:00:00,5987,397,0,0
2024-03-11 15:00:00,6217,398,0,0
2024-03-11 16:00:00,6301,399,0,0
2024-03-11 17:00:00,6469,400,0,0
2024-03-11 18:00:00,5907,401,0,0
2024-03-11 19:00:00,5504,402,0,0
2024-03-11 20:00:00,5460,403,0,0
2024-03-11 21:00:00,5486,404,0,0
2024-03-11 22:00:00,5134,405,0,0
2024-03-11 23:00:00,3465,406,0,0
2024-03-12 00:00:00,4352,407,0,0
2024-03-12 01:00:00,3181,408,0,0
2024-03-12 02:00:00,2750,409,0,0
2024-03-12 03:00:00,2367,410,0,0
2024-03-12 04:00:00,2094,411,0,0
2024-03-12 05:00:00,2447,412,0,0
2024-03-12 06:00:00,2711,413,0,0
2024-03-12 07:00:00,3485,414,0,0
2024-03-12 08:00:00,4504,415,0,0
2024-03-12 09:00:00,5162,416,0,0
2024-03-12 10:00:00,8023,417,0,0
2024-03-12 11:00:00,8140,418,0,0
2024-03-12 12:00:00,6927,419,0,0
2024-03-12 13:00:00,6558,420,0,0
2024-03-12 14:00:00,6216,421,0,0
2024-03-12 15:00:00,6062,422,0,0
2024-03-12 16:00:00,6210,423,0,0
2024-03-12 17:00:00,5649,424,0,0
2024-03-12 18:00:00,5315,425,0,0
